recording_id,electrode,word,session_token,label_token,channel_id,path,sample_count,qc_status,is_suspicious_channel
pedot:bye:s1,pedot,bye,s1,CE,2,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch2.npy,528000,ok,False
pedot:bye:s1,pedot,bye,s1,CE,3,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch3.npy,528000,ok,False
pedot:bye:s1,pedot,bye,s1,CE,4,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch4.npy,528000,ok,False
pedot:bye:s1,pedot,bye,s1,CE,5,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch5.npy,528000,ok,False
pedot:bye:s1,pedot,bye,s1,CE,6,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch6.npy,528000,ok,False
pedot:bye:s1,pedot,bye,s1,CE,7,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch7.npy,528000,ok,False
pedot:bye:s1,pedot,bye,s1,CE,8,data/PEDOT5%GLYC2.5/raw/bye_CE_s1_ch8.npy,528000,ok,False
pedot:help:s1,pedot,help,s1,CE,2,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch2.npy,735400,ok,False
pedot:help:s1,pedot,help,s1,CE,3,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch3.npy,735400,ok,False
pedot:help:s1,pedot,help,s1,CE,4,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch4.npy,735400,ok,False
pedot:help:s1,pedot,help,s1,CE,5,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch5.npy,735400,ok,False
pedot:help:s1,pedot,help,s1,CE,6,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch6.npy,735400,ok,False
pedot:help:s1,pedot,help,s1,CE,7,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch7.npy,735400,ok,False
pedot:help:s1,pedot,help,s1,CE,8,data/PEDOT5%GLYC2.5/raw/help_CE_s1_ch8.npy,735400,ok,False
pedot:no:s1,pedot,no,s1,CE,2,data/PEDOT5%GLYC2.5/raw/no_CE_s1_ch2.npy,742400,ok,False
pedot:no:s1,pedot,no,s1,CE,3,data/PEDOT5%GLYC2.5/raw/no_CE_s1_ch3.npy,742400,ok,False
pedot:no:s1,pedot,no,s1,CE,4,data/PEDOT5%GLYC2.5/raw/no_CE_s1_ch4.npy,742400,ok,False
